time_window,CRUSHED-ORE_Particle_size_-0.038mm,CYCLONEOVERFLOW-COMP_Particle_size_+0.038mm,CYCLONEOVERFLOW-COMP_Particle_size_+0.074mm,CYCLONEOVERFLOW-COMP_Particle_size_+0.150mm,CYCLONEOVERFLOW-COMP_Particle_size_+0.250mm,CYCLONEOVERFLOW-COMP_Particle_size_+0.300mm,CYCLONEOVERFLOW-COMP_Particle_size_+0.500mm,CYCLONEOVERFLOW-COMP_Particle_size_-0.038mm,FLOATATION_CONC-2_CaO,FLOATATION_CONC-2_MgO,FLOATATION_CONC-2_P2O5,FLOATATION_CONC-2_SiO2,FLOTATION_FEED_Particle_size_-0.038mm,PHOS_ACID_BENE_P2O5,PHOS_ACID_BENE_Specific_Gravity,R04_WATER_BENEPLANT_Calcium_Hardness_as_CaCO3,T25_WATER_BENEPLANT_COD,T25_WATER_BENEPLANT_Calcium_Hardness_as_CaCO3,T25_WATER_BENEPLANT_Total_hardness_as_CaCO3,T25_WATER_BENEPLANT_Turbidity,T25_WATER_TAILINGDAM_COD,T25_WATER_TAILINGDAM_Calcium_Hardness_as_CaCO3,T25_WATER_TAILINGDAM_pH,BELTFILTER-CONC_CaO,BELTFILTER-CONC_MgO,BELTFILTER-CONC_Moisture,BELTFILTER-CONC_P2O5,BELTFILTER-CONC_R2O3,BELTFILTER-CONC_SiO2,BELTFILTER-CONC_wt_%_+250_µm,CRUSHED-ORE_CaO,CRUSHED-ORE_MgO,CRUSHED-ORE_Moisture,CRUSHED-ORE_P2O5,CRUSHED-ORE_Paricle_size_+1.00mm,CRUSHED-ORE_Particle_size_+0.038mm,CRUSHED-ORE_Particle_size_+12.5mm,CRUSHED-ORE_Particle_size_+16.0mm,CRUSHED-ORE_Particle_size_+3.35mm,CRUSHED-ORE_Particle_size_+6.3mm,CRUSHED-ORE_Particle_size_+9.0mm,CRUSHED-ORE_R2O3,CRUSHED-ORE_SiO2,FLOATATION-TAIL-PRD_CaO,FLOATATION-TAIL-PRD_MgO,FLOATATION-TAIL-PRD_P2O5,FLOATATION-TAIL-PRD_SiO2,FLOATATION_CONC_CaO,FLOATATION_CONC_MgO,FLOATATION_CONC_P2O5,FLOATATION_CONC_SiO2,FLOTATION_FEED_CaO,FLOTATION_FEED_MgO,FLOTATION_FEED_P2O5,FLOTATION_FEED_Particle_size_+0.038mm,FLOTATION_FEED_Particle_size_+0.250mm,FLOTATION_FEED_SiO2,MILL-FEED_CaO,MILL-FEED_Chloride_as_Cl,MILL-FEED_MgO,MILL-FEED_Moisture,MILL-FEED_P2O5,MILL-FEED_Paricle_size_+1.00mm,MILL-FEED_Particle_size_+0.038mm,MILL-FEED_Particle_size_+12.5mm,MILL-FEED_Particle_size_+16.0mm,MILL-FEED_Particle_size_+3.35mm,MILL-FEED_Particle_size_+6.3mm,MILL-FEED_Particle_size_+9.0mm,MILL-FEED_Particle_size_-0.038mm,MILL-FEED_R2O3,MILL-FEED_SiO2,HARDNESSS_DIFFERENTIAL,WORK_INDEX
2018-01-01 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,52.07333333333333,0.6533333333333333,17.386666666666667,30.166666666666668,0.27,1.4633333333333332,25.488500586666664,,,,,,,,,,,,,,45.85,2.1,7.665,0.79,,,,,48.7,0.885,19.65,68.92130858,16.755084,1.13,46.96,,1.41,7.14,18.0,17.72091921,31.01160862,9.144752428,,12.05875385,10.37668799,9.097370291,10.5899076,0.4,1.84,0.5,4.27
2018-01-01 06:00:00,,,,,,,,,51.43,0.45,32.4,1.31,,,,,,,,,,,,50.45000000000001,0.79,17.66,28.5,0.3,1.6566666666666665,22.889999999999997,46.5,1.7,8.62,16.61,18.29489505,32.83233998,10.49494688,,11.97201347,8.888313034,6.892977455,0.73,2.02,47.565,1.14,11.1,0.75,51.63,0.4,33.3,1.3,47.77,0.74,17.7,,,1.34,46.71,355.0,1.94,7.43,16.2,20.09995654,35.41938288,7.5401999129999995,,11.51673186,8.691873099,4.737070838999999,11.99478488,0.83,1.5,0.5,4.27
2018-01-01 09:00:00,,,,,,,,,,,,,7.6,46.48,1.6059999999999999,,,,,,,,,51.06333333333333,0.5233333333333333,17.28,30.166666666666668,0.27,1.49,26.804333333333332,,,,,,,,,,,,,,46.355,1.36,8.6,0.855,,,,,49.465,0.63,21.675,68.8,22.1,1.225,47.64,,2.09,7.37,20.1,18.09473124,31.37307078,4.736562001,,14.63544439,10.32464077,7.317722193,13.51782863,0.56,1.45,0.5,4.27
2018-01-01 12:00:00,,,,,,,,,,,,,,,,750.0,,,,,212.0,1320.0,7.8,51.29,0.5,17.91,30.866666666666664,0.2966666666666667,1.5166666666666666,26.953333333333333,48.48,0.94,7.22,19.9,17.00492005,40.66728167,9.978474785,,7.318573186,5.781057811,3.6900369,0.76,1.16,46.205,1.345,8.15,0.77,,,,,49.26,0.5,19.9,,,1.0,48.42,,0.96,6.25,19.6,19.28507059,39.4112346,4.7762090719999994,,10.84409733,5.797536797999999,5.707419646,14.17843196,0.61,1.28,0.5,4.27
2018-01-01 15:00:00,,6.9,16.9,24.4,6.6,7.8,0.8,36.6,,,,,8.5,,,,,,,,,,,51.029999999999994,0.55,17.69666666666667,30.23333333333333,0.28,1.58,26.666666666666668,,,,,,,,,,,,,,45.77,1.575,7.7,0.76,,,,,49.095,0.635,21.1,66.8,26.6,1.2149999999999999,48.57,,0.88,6.91,19.9,14.66933868,24.5490982,24.88977956,,10.1002004,6.533066132,9.97995992,9.278557114,0.49,1.35,0.5,4.27
2018-01-01 18:00:00,,,,,,,,,51.56,0.38,33.8,1.04,,,,780.0,,,,,,1300.0,,51.223333333333336,0.6733333333333333,17.843333333333334,30.833333333333332,0.2866666666666667,1.4466666666666665,29.198363516666664,48.38,0.85,7.19,19.4,11.74392936,26.68874172,28.41059603,,8.233995585,6.181015453,9.889624723999999,0.55,1.31,45.695,2.08,8.5,0.72,51.79,0.46,32.7,1.37,49.26,0.78,21.4,,,1.34,48.2,443.0,0.87,7.26,19.1,17.13537118,34.91703057,13.79912664,,11.28384279,6.72489083,4.908296943,11.23144105,0.69,1.11,0.5,4.27
2018-01-01 21:00:00,,,,,,,,,,,,,6.8,,,,,,,,,,,51.105000000000004,0.65,17.285,29.95,0.275,1.455,31.66,,,,,,,,,,,,,,,,,,,,,,48.89,0.77,20.2,70.01039501,22.03742204,1.16,,,,,,,,,,,,,,,,0.5,4.27
2018-01-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,4.27
2018-01-02 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,4.27
2018-01-02 06:00:00,,,,,,,,,51.0,0.4,33.4,1.35,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,4.27
